Ligand Short Name,Base File Name,KD1,KD2,Alpha,SC
Gen_8_Mutant_23_821547,Gen_8_Mutant_23_821547__3,9.554441159433611e+16,1.9014914803386492e-06,5.024708897318855e+22,39.098367577171075
Gen_8_Cross_926710,Gen_8_Cross_926710__3,3.769470894970141e-05,5.237982542752388e-06,7.196417445464428,-8.943253869226481
Gen_8_Cross_883814,Gen_8_Cross_883814__1,1.8745043472308274e+22,3.1559434689496957e-06,5.939600520964547e+27,51.28521632220169
Gen_8_Cross_451258,Gen_8_Cross_451258__2,1.6562590705479846e+32,5.571771015598962e-05,2.972589982450917e+36,74.18728446310413
Gen_8_Cross_23528,Gen_8_Cross_23528__3,1.2340448969970036e-05,5.480883414541699e-08,225.15437816518343,-11.252650666917344
Gen_8_Cross_178236,Gen_8_Cross_178236__2,9.673305104522251e-06,4.1590092830141227e-07,23.2586763968745,-11.07018130475627
Gen_8_Cross_390670,Gen_8_Cross_390670__5,7.5621500842996286e-06,5.830150654334497e-07,12.970762734368545,-10.948281190102726
Gen_8_Cross_62845,Gen_8_Cross_62845__1,88120.60488748769,2.6655342760556763e-06,33059265333.434067,11.386461664909254
Gen_8_Cross_461681,Gen_8_Cross_461681__5,0.007430345049243489,2.6655342760556763e-06,2787.563122331535,-4.900425021125967
Gen_8_Cross_869707,Gen_8_Cross_869707__5,32832255927.41658,6.902790951075892e-07,4.7563740753729816e+16,24.214677281524537
Gen_8_Cross_332074,Gen_8_Cross_332074__2,87346953.39602394,3.97469100725155e-05,2197578459222.7534,18.28539871580554
Gen_8_Mutant_11_797238,Gen_8_Mutant_11_797238__1,1.8336560954228806e-06,1.680490097169955e-08,109.11436482195677,-13.089239812031954
Gen_8_Mutant_11_818048,Gen_8_Mutant_11_818048__2,9.312628398529928e-06,8.172777298444324e-07,11.394692475350542,-10.6495343781525
Gen_8_Cross_869707,Gen_8_Cross_869707__3,6.7902832493889505e-06,9.096731904955463e-08,74.64530471311274,-11.742704530372475
Gen_8_Cross_394904,Gen_8_Cross_394904__1,7.520122399000737e-06,1.2751911298823975e-07,58.972511828044695,-11.601205882355144
Gen_8_Cross_675538,Gen_8_Cross_675538__4,5691248870.884197,0.0003016078895678205,18869694950749.77,22.46219554621701
Gen_8_Cross_883814,Gen_8_Cross_883814__5,8.282260367311727e-06,1.509802801699513e-07,54.856570394416956,-11.491904605100322
Gen_8_Cross_920985,Gen_8_Cross_920985__1,1.828243266903105e-05,2.966880144570127e-07,61.62174330665455,-10.735356153620774
Gen_8_Mutant_18_600747,Gen_8_Mutant_18_600747__1,8.729629846984578e-06,4.1590092830141227e-07,20.989685891391012,-11.119048890418858
Gen_8_Mutant_7_354160,Gen_8_Mutant_7_354160__4,4.704848388949272e-05,9.676417733548232e-07,48.62179908415402,-9.763526380780041
Gen_8_Mutant_16_157959,Gen_8_Mutant_16_157959__5,4.9454169666517025e+19,0.00021515567725685956,2.2985296180438266e+23,45.34757804926654
Gen_8_Mutant_17_255764,Gen_8_Mutant_17_255764__2,591613949144524.2,0.0003016078895678205,1.9615334001781542e+18,34.01387542516289
Gen_8_Cross_277924,Gen_8_Cross_277924__3,0.0001008755854557611,6.902790951075892e-07,146.1373901813415,-9.139085004675875
Gen_8_Cross_918757,Gen_8_Cross_918757__1,8.019500695987696e-06,1.0770362963297668e-07,74.45896413441099,-11.57813750339609
Gen_8_Mutant_8_460912,Gen_8_Mutant_8_460912__4,7.153884763854664,2.6655342760556763e-06,2683846.472400506,1.9676547996278169
Gen_8_Mutant_18_751775,Gen_8_Mutant_18_751775__1,2046.0808179150408,0.0007017257554849765,2915784.1249548467,7.623678831554794
Gen_8_Cross_71687,Gen_8_Cross_71687__3,2.1517039417440853e-05,9.096731904955463e-08,236.53593007087966,-10.701423132631279
Gen_8_Cross_580561,Gen_8_Cross_580561__5,2.4675064562169715e-06,1.7875786982849592e-07,13.803624190556475,-12.040063172938655
Gen_8_Mutant_10_803559,Gen_8_Mutant_10_803559__3,4.002155967524196,2.0226633117017023e-05,197865.65289292322,1.3868261988685642
Gen_8_Cross_743763,Gen_8_Cross_743763__2,13387.122956030213,7.342668715297711e-06,1823195826.35391,9.502048545265676
Gen_8_Cross_936232,Gen_8_Cross_936232__2,35624554.141758,0.0007017257554849765,50767060868.582726,17.38854568081318
Gen_8_Mutant_23_821547,Gen_8_Mutant_23_821547__1,1.6068730298483058e+21,6.902790951075892e-07,2.327859906575692e+27,48.82857702583571
Gen_8_Mutant_13_194358,Gen_8_Mutant_13_194358__1,3.8296171903292784e+28,3.97469100725155e-05,9.635006050388334e+32,65.8151474517248
Gen_8_Cross_980011,Gen_8_Cross_980011__3,7.428732759815546e-06,1.0770362963297668e-07,68.97383853385956,-11.641375688258712
Gen_8_Cross_451258,Gen_8_Cross_451258__1,5.035259445051638e+18,0.00010948964181059926,4.598845481440048e+22,43.06299672704795
Gen_8_Cross_820388,Gen_8_Cross_820388__5,1.7461604926139174e-05,4.92419035910961e-07,35.46086493962547,-10.65503307458776
Gen_8_Cross_897709,Gen_8_Cross_897709__3,3.11432765796199e-06,1.509802801699513e-07,20.627380307258274,-12.093226667312901
Gen_8_Cross_465751,Gen_8_Cross_465751__2,9.756314079909924e-05,2.2513308767194835e-06,43.33576277391217,-9.026713692083797
Gen_8_Cross_354757,Gen_8_Cross_354757__1,2.5338921311162815e-06,3.9098552253104834e-08,64.80782497298385,-12.689945202936817
Gen_8_Mutant_11_797238,Gen_8_Mutant_11_797238__3,2.0109822289688983e-06,1.680490097169955e-08,119.66641352754841,-13.008183570302512
Gen_8_Mutant_16_157959,Gen_8_Mutant_16_157959__2,0.0013617968698834645,3.7365789172835235e-06,364.45018291584347,-6.580893178910317
Gen_8_Cross_926710,Gen_8_Cross_926710__1,0.10286579251340562,3.1559434689496957e-06,32594.3077008409,-2.274260350911857
Gen_8_Mutant_6_643298,Gen_8_Mutant_6_643298__2,123847524755.10394,6.596874219596592e-05,1877366774512754.0,25.542317006853253
Gen_8_Cross_76543,Gen_8_Cross_76543__5,0.004155414600032169,8.172777298444324e-07,5084.45837723138,-5.482264832559926
Gen_8_Cross_823851,Gen_8_Cross_823851__5,2.3490138696067976e-06,3.3022939796031453e-08,71.1327908452624,-12.781825311593838
Gen_8_Cross_474343,Gen_8_Cross_474343__4,0.001967639956570916,2.6655342760556763e-06,738.1784485932519,-6.222490924728004
